time,furnace temp,current set point temp,thermocouple temp
5.01,22,30,25.4
6.01,22,30,24.2
7.01,22,30,25.4
8.01,22,30,24.8
9.01,22,30,24.8
10.02,22,30,25.4
11.02,22,30,24.2
12.02,22,30,25.4
13.02,22,30,25.4
14.02,22,30,25.4
15.02,22,30,24.8
16.02,22,30,24.2
17.02,22,30,25.4
18.03,22,30,25.4
19.03,22,30,25.4
20.03,22,30,25.4
21.03,22,30,24.8
22.03,22,30,24.8
23.03,22,30,25.4
24.03,22,30,24.8
25.03,22,30,24.8
26.04,22,30,24.2
27.04,22,30,25.4
28.04,22,30,25.4
29.04,22,30,25.4
30.04,22,30,23.6
31.04,22,30,24.8
32.04,22,30,25.4
33.04,22,30,24.8
34.04,22,30,24.8
35.04,23,30,24.8
36.05,23,30,24.2
37.05,23,30,25.4
38.05,23,30,24.8
39.05,23,30,25.4
40.05,23,30,24.8
41.05,23,30,24.2
42.05,23,30,24.8
43.05,23,30,25.4
44.05,23,30,24.8
45.05,23,30,24.8
46.06,23,30,24.2
47.06,23,30,24.8
48.06,23,30,24.8
49.06,23,30,25.4
50.06,23,30,25.4
51.06,23,30,24.2
52.06,23,30,25.4
53.06,23,30,25.4
54.06,23,30,24.8
55.06,23,30,25.4
56.07,23,30,23.6
57.07,24,30,25.4
58.07,24,30,24.8
59.07,24,30,25.4
60.07,24,30,25.4
61.07,24,30,24.2
62.07,24,30,25.4
63.07,24,30,24.8
64.07,24,30,25.4
65.08,24,30,24.8
66.08,24,30,24.2
67.08,24,30,25.4
68.08,24,30,24.8
69.08,25,30,24.8
70.08,25,30,25.4
71.08,25,30,24.2
72.08,25,30,25.4
73.08,25,30,25.4
74.09,25,30,25.4
75.09,25,30,25.4
76.09,25,30,24.2
77.09,25,30,24.8
78.09,25,30,25.4
79.09,25,30,25.4
80.09,25,30,25.4
81.1,26,30,24.2
82.09,26,30,25.4
83.09,26,30,25.4
84.1,26,30,25.4
85.1,26,30,24.8
86.1,26,30,24.2
87.1,26,30,24.8
88.1,26,30,24.8
89.1,26,30,25.4
90.1,26,30,25.4
91.11,26,30,24.8
92.11,26,30,24.2
93.11,26,30,24.8
94.11,26,30,25.4
95.11,26,30,25.4
96.11,26,30,24.2
97.11,26,30,24.8
98.11,26,30,24.8
99.11,26,30,24.8
100.11,27,30,25.4
101.12,27,30,24.2
102.12,27,30,26.2
103.12,27,30,24.8
104.12,27,30,25.4
105.12,27,30,24.8
106.12,27,30,24.2
107.12,27,30,25.4
108.12,27,30,25.4
109.12,27,30,25.4
110.12,27,30,24.8
111.13,27,30,24.8
112.13,27,30,24.8
113.13,27,30,25.4
114.13,27,30,24.8
115.13,27,30,24.8
116.13,27,30,25.4
117.13,27,30,25.4
118.13,27,30,25.4
119.13,27,30,25.4
120.13,27,30,24.8
